name,specialty,location,experience,rating,focus,hospital,qualification,languages,consultation_fee,availability,about
Dr. Aarav Mehta,Cardiologist,Patna,5 years,4.2,"chest pain, hypertension, palpitation, heart failure, arrhythmia",Patna Cardiologist Care Center,MD Cardiology,English|Hindi,600,Mon-Sat 09:00-14:00,"Specializes in chest pain, hypertension, and personalized cardiologist care."
Dr. Meera Iyer,Cardiologist,Mumbai,6 years,4.3,"hypertension, palpitation, heart failure, arrhythmia, chest pain",Mumbai Cardiologist Care Center,MD Cardiology,English|Hindi|Tamil,700,Mon-Fri 10:00-17:00,"Specializes in chest pain, hypertension, and personalized cardiologist care."
Dr. Karan Verma,Cardiologist,Hyderabad,7 years,4.4,"palpitation, heart failure, arrhythmia, chest pain, hypertension",Hyderabad Cardiologist Care Center,MD Cardiology,English|Hindi|Bengali,800,Tue-Sun 11:00-18:00,"Specializes in chest pain, hypertension, and personalized cardiologist care."
Dr. Sana Qureshi,Cardiologist,Ahmedabad,8 years,4.5,"heart failure, arrhythmia, chest pain, hypertension, palpitation",Ahmedabad Cardiologist Care Center,MD Cardiology,English|Hindi|Marathi,900,Mon-Sat 16:00-20:00,"Specializes in chest pain, hypertension, and personalized cardiologist care."
Dr. Rohan Kulkarni,Cardiologist,Chennai,9 years,4.6,"arrhythmia, chest pain, hypertension, palpitation, heart failure",Chennai Cardiologist Care Center,MD Cardiology,English|Hindi|Gujarati,1000,Mon-Sat 09:00-14:00,"Specializes in chest pain, hypertension, and personalized cardiologist care."
Dr. Naina Shah,Cardiologist,Patna,10 years,4.7,"chest pain, hypertension, palpitation, heart failure, arrhythmia",Patna Cardiologist Care Center,MD Cardiology,English|Hindi,1100,Mon-Fri 10:00-17:00,"Specializes in chest pain, hypertension, and personalized cardiologist care."
Dr. Priya Reddy,Dermatologist,Ahmedabad,11 years,4.8,"skin rash, acne, eczema, itching, fungal infection",Ahmedabad Dermatologist Care Center,MD Dermatology,English|Hindi|Tamil,1200,Tue-Sun 11:00-18:00,"Specializes in skin rash, acne, and personalized dermatologist care."
Dr. Aarushi Kapoor,Dermatologist,Chennai,12 years,4.9,"acne, eczema, itching, fungal infection, skin rash",Chennai Dermatologist Care Center,MD Dermatology,English|Hindi|Bengali,1300,Mon-Sat 16:00-20:00,"Specializes in skin rash, acne, and personalized dermatologist care."
Dr. Dev Nair,Dermatologist,Patna,13 years,4.2,"eczema, itching, fungal infection, skin rash, acne",Patna Dermatologist Care Center,MD Dermatology,English|Hindi|Marathi,1400,Mon-Sat 09:00-14:00,"Specializes in skin rash, acne, and personalized dermatologist care."
Dr. Isha Singh,Dermatologist,Mumbai,14 years,4.3,"itching, fungal infection, skin rash, acne, eczema",Mumbai Dermatologist Care Center,MD Dermatology,English|Hindi|Gujarati,1500,Mon-Fri 10:00-17:00,"Specializes in skin rash, acne, and personalized dermatologist care."
Dr. Kabir Bose,Dermatologist,Hyderabad,15 years,4.4,"fungal infection, skin rash, acne, eczema, itching",Hyderabad Dermatologist Care Center,MD Dermatology,English|Hindi,600,Tue-Sun 11:00-18:00,"Specializes in skin rash, acne, and personalized dermatologist care."
Dr. Ananya Malhotra,Dermatologist,Ahmedabad,16 years,4.5,"skin rash, acne, eczema, itching, fungal infection",Ahmedabad Dermatologist Care Center,MD Dermatology,English|Hindi|Tamil,700,Mon-Sat 16:00-20:00,"Specializes in skin rash, acne, and personalized dermatologist care."
Dr. Vivaan Joshi,Neurologist,Mumbai,17 years,4.6,"migraine, seizure, dizziness, nerve pain, numbness",Mumbai Neurologist Care Center,DM Neurology,English|Hindi|Bengali,800,Mon-Sat 09:00-14:00,"Specializes in migraine, seizure, and personalized neurologist care."
Dr. Zoya Das,Neurologist,Hyderabad,18 years,4.7,"seizure, dizziness, nerve pain, numbness, migraine",Hyderabad Neurologist Care Center,DM Neurology,English|Hindi|Marathi,900,Mon-Fri 10:00-17:00,"Specializes in migraine, seizure, and personalized neurologist care."
